track_name,album_name,key,mode,tempo,energy,danceability,duration_min,time_signature,valence,acousticness,instrumentalness,liveness,loudness,speechiness,release_date,album_id
Welcome To New York (Taylor's Version),1989 (Taylor's Version) [Deluxe],G,Major,116.998,61.0,75.7,3.5433333333333334,4/4,68.5,0.942,0.00366,36.7,-4.84,3.27,2023-10-27,1o59UpKw81iHR0HPiSkJR0
Blank Space (Taylor's Version),1989 (Taylor's Version) [Deluxe],C,Major,96.057,73.3,73.3,3.8638833333333333,4/4,70.1,8.85,0.0,16.8,-5.376,6.7,2023-10-27,1o59UpKw81iHR0HPiSkJR0
Style (Taylor's Version),1989 (Taylor's Version) [Deluxe],B,Minor,94.868,82.19999999999999,51.1,3.85,4/4,30.5,0.0421,1.97,8.99,-4.785,3.9699999999999998,2023-10-27,1o59UpKw81iHR0HPiSkJR0
Out Of The Woods (Taylor's Version),1989 (Taylor's Version) [Deluxe],C,Major,92.021,88.5,54.50000000000001,3.93,4/4,20.599999999999998,0.053700000000000005,0.0055899999999999995,38.5,-5.968,4.47,2023-10-27,1o59UpKw81iHR0HPiSkJR0
All You Had To Do Was Stay (Taylor's Version),1989 (Taylor's Version) [Deluxe],C,Major,96.997,72.1,58.8,3.2214833333333335,4/4,52.0,0.0656,0.0,13.100000000000001,-5.579,3.17,2023-10-27,1o59UpKw81iHR0HPiSkJR0
Shake It Off (Taylor's Version),1989 (Taylor's Version) [Deluxe],G,Major,160.058,80.80000000000001,63.6,3.6534833333333334,4/4,91.7,1.21,0.00218,35.9,-5.693,7.290000000000001,2023-10-27,1o59UpKw81iHR0HPiSkJR0
I Wish You Would (Taylor's Version),1989 (Taylor's Version) [Deluxe],C,Major,118.009,85.8,67.0,3.4608333333333334,4/4,53.900000000000006,0.35400000000000004,0.00125,6.87,-6.528,4.390000000000001,2023-10-27,1o59UpKw81iHR0HPiSkJR0
Bad Blood (Taylor's Version),1989 (Taylor's Version) [Deluxe],G,Major,169.971,68.30000000000001,61.8,3.5184,4/4,36.3,3.62,0.0,30.5,-6.438,19.400000000000002,2023-10-27,1o59UpKw81iHR0HPiSkJR0
Wildest Dreams (Taylor's Version),1989 (Taylor's Version) [Deluxe],Ab,Major,139.985,67.4,58.9,3.6738833333333334,4/4,51.4,4.36,0.00718,11.200000000000001,-7.48,6.5600000000000005,2023-10-27,1o59UpKw81iHR0HPiSkJR0
How You Get The Girl (Taylor's Version),1989 (Taylor's Version) [Deluxe],F,Major,119.997,69.1,75.8,4.12555,4/4,53.800000000000004,0.196,0.00109,9.39,-5.798,5.1499999999999995,2023-10-27,1o59UpKw81iHR0HPiSkJR0
